text,model,type,origin
"Vencimento [DATE] valor total [MONEY]
ISSQN Imposto Sobre Serviços de Qualquer Natureza
Período de apuração [DATE] a [DATE]
Prefeitura de Porto Alegre
Código de barras 85640000001234567890123456789012345678901234
Autenticação bancária 00000.00000 11111.111111 22222.222222
Guia de recolhimento municipal",ISSPoa,GuiaPagamento,synthetic
"Vencimento [DATE] valor total [MONEY]
Código de barras 85640000001234567890123456789012345678901234
Declaro ter recebido a importância líquida
Adiantamento Salarial
Adiantamento",Contracheque,Recibo,synthetic
"Código de barras 85640000001234567890123456789012345678901234
Ministério da Fazenda Secretaria da Receita Federal do Brasil
Autenticação bancária 00000.00000 11111.111111 22222.222222
Vencimento [DATE] valor total [MONEY]
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Documento de Arrecadação de Receitas Federais
DARF código da receita 2089",DARF,GuiaPagamento,synthetic
"Sindicato dos empregados contribuição confederativa
Código de barras 85640000001234567890123456789012345678901234
Boleto de contribuição assistencial
Vencimento [DATE] valor total [MONEY]
Identificação do sujeito passivo [CNPJ]
Cedente sindicato código do beneficiário
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]",BoletoSindicato,GuiaPagamento,synthetic
"IRRF - Rendimento do trabalho assalariado DCTFWeb
Vencimento [DATE] valor total [MONEY]
Código de barras 85640000001234567890123456789012345678901234
Documento de Arrecadação de Receitas Federais
Período de apuração [DATE] a [DATE]
Identificação do sujeito passivo [CNPJ]
Contribuição previdenciária CONTRPREV",DCTFWEB,GuiaPagamento,synthetic
"Identificação do sujeito passivo [CNPJ]
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Boleto de contribuição assistencial
Cedente sindicato código do beneficiário
Sindicato dos empregados contribuição confederativa
Código de barras 85640000001234567890123456789012345678901234
Período de apuração [DATE] a [DATE]",BoletoSindicato,GuiaPagamento,synthetic
"Código de pagamento 2100
Ministério da Previdência Social
Identificação do sujeito passivo [CNPJ]
Vencimento [DATE] valor total [MONEY]
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Código de barras 85640000001234567890123456789012345678901234
INSS Guia da Previdência Social GPS",GuiaGPS,GuiaPagamento,synthetic
"Boleto de contribuição assistencial
Cedente sindicato código do beneficiário
Código de barras 85640000001234567890123456789012345678901234
Vencimento [DATE] valor total [MONEY]
Sindicato dos empregados contribuição confederativa
Identificação do sujeito passivo [CNPJ]",BoletoSindicato,GuiaPagamento,synthetic
"Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Guia de Arrecadação
Guia de Arrecadação - GA
Estado do Rio Grande Do Sul
Código de barras 85640000001234567890123456789012345678901234
Identificação do sujeito passivo [CNPJ]",GARS,GuiaPagamento,synthetic
"Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Vencimento [DATE] valor total [MONEY]
Ministério da Previdência Social
INSS Guia da Previdência Social GPS
Código de pagamento 2100",GuiaGPS,GuiaPagamento,synthetic
"Vencimento [DATE] valor total [MONEY]
Pedido de compra ordem 4521
Quantidade 10 unidades descrição material de escritório
Código de barras 85640000001234567890123456789012345678901234
Período de apuração [DATE] a [DATE]",Desconhecido,Desconhecido,synthetic
"Guia de Arrecadação
Código de barras 85640000001234567890123456789012345678901234
Estado do Rio Grande Do Sul
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Guia de Arrecadação - GA
Autenticação bancária 00000.00000 11111.111111 22222.222222",GARS,GuiaPagamento,synthetic
"Código de barras 85640000001234567890123456789012345678901234
Identificação do sujeito passivo [CNPJ]
Documento de Arrecadação do Simples Nacional
Período de apuração [DATE] a [DATE]
Receita Federal do Brasil DAS
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Programa Gerador do DAS",SimplesNacional,GuiaPagamento,synthetic
"Período de apuração [DATE] a [DATE]
Competência da guia FGTS Digital
Fundo de Garantia do Tempo de Serviço
Código de barras 85640000001234567890123456789012345678901234
Identificação do sujeito passivo [CNPJ]
GFD - Guia do FGTS Digital
Vencimento [DATE] valor total [MONEY]",FGTSDigital,GuiaPagamento,synthetic
"Identificação do sujeito passivo [CNPJ]
Demonstrativo de Resultado
Demonstração de Resultado
Código de barras 85640000001234567890123456789012345678901234
Período de apuração [DATE] a [DATE]
Vencimento [DATE] valor total [MONEY]",DREMensal,Relatorio,synthetic
"Vencimento [DATE] valor total [MONEY]
Período de apuração [DATE] a [DATE]
Guia de recolhimento municipal
Prefeitura de Porto Alegre
ISSQN Imposto Sobre Serviços de Qualquer Natureza
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]",ISSPoa,GuiaPagamento,synthetic
"EFD 1CM5 1P1 número do recibo
Vencimento [DATE] va1or tota1 [MONEY]
Período de apuração [DATE] a [DATE]
Recibo de entrega de Escrituração Fisca1 Digita1
5istema Púb1ico de Escrituração Digita1 5PED",SPEDFiscal,Recibo,synthetic
"Identificação do sujeito passivo [CNPJ]
Guia de Arrecadação
Estado do Rio Grande Do Sul
Guia de Arrecadação - GA
Vencimento [DATE] valor total [MONEY]",GARS,GuiaPagamento,synthetic
"Adiantamento
Declaro ter recebido a importância líquida
Identificação do sujeito passivo [CNPJ]
Adiantamento Salarial
Período de apuração [DATE] a [DATE]
Vencimento [DATE] valor total [MONEY]",Contracheque,Recibo,synthetic
"Vencimento [DATE] valor total [MONEY]
Demonstrativo de Resultado
Demonstração de Resultado
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Código de barras 85640000001234567890123456789012345678901234
Autenticação bancária 00000.00000 11111.111111 22222.222222",DREMensal,Relatorio,synthetic
"Adiantamento
Autenticação bancária 00000.00000 11111.111111 22222.222222
Declaro ter recebido a importância líquida
Adiantamento Salarial
Período de apuração [DATE] a [DATE]",Contracheque,Recibo,synthetic
"Autenticação bancária 00000.00000 11111.111111 22222.222222
Identificação do sujeito passivo [CNPJ]
Código de barras 85640000001234567890123456789012345678901234
Demonstrativo de Resultado
Período de apuração [DATE] a [DATE]
Demonstração de Resultado",DREMensal,Relatorio,synthetic
"Ata de reunião pauta 1 aprovação das contas
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Identificação do sujeito passivo [CNPJ]
Autenticação bancária 00000.00000 11111.111111 22222.222222
Vencimento [DATE] valor total [MONEY]
Presentes os sócios na sede da sociedade",Desconhecido,Desconhecido,synthetic
"Guia de recolhimento municipal
Prefeitura de Porto Alegre
Período de apuração [DATE] a [DATE]
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
ISSQN Imposto Sobre Serviços de Qualquer Natureza
Vencimento [DATE] valor total [MONEY]",ISSPoa,GuiaPagamento,synthetic
"Período de apuração [DATE] a [DATE]
Código de barras 85640000001234567890123456789012345678901234
Demonstrativo de Resultado
Autenticação bancária 00000.00000 11111.111111 22222.222222
Demonstração de Resultado",DREMensal,Relatorio,synthetic
"Autenticação bancária 00000.00000 11111.111111 22222.222222
Declaro ter recebido a importância líquida
Período de apuração [DATE] a [DATE]
Adiantamento Salarial
Vencimento [DATE] valor total [MONEY]
Adiantamento",Contracheque,Recibo,synthetic
"Período de apuração [DATE] a [DATE]
Recibo de entrega de Escrituração Fiscal Digital
EFD ICMS IPI número do recibo
Sistema Público de Escrituração Digital SPED
Identificação do sujeito passivo [CNPJ]",SPEDFiscal,Recibo,synthetic
"Ministério da Previdência Social
Código de pagamento 2100
Código de barras 85640000001234567890123456789012345678901234
Identificação do sujeito passivo [CNPJ]
Vencimento [DATE] valor total [MONEY]
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
INSS Guia da Previdência Social GPS",GuiaGPS,GuiaPagamento,synthetic
"Declaro ter recebido a importância líquida
Adiantamento Salarial
Período de apuração [DATE] a [DATE]
Adiantamento
Vencimento [DATE] valor total [MONEY]",Contracheque,Recibo,synthetic
"Documento de Arrecadação de Receitas Federais
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Vencimento [DATE] valor total [MONEY]
Período de apuração [DATE] a [DATE]
DARF código da receita 2089
Identificação do sujeito passivo [CNPJ]
Ministério da Fazenda Secretaria da Receita Federal do Brasil",DARF,GuiaPagamento,synthetic
"IRRF - Rendimento do trabalho assalariado DCTFWeb
Documento de Arrecadação de Receitas Federais
Identificação do sujeito passivo [CNPJ]
Contribuição previdenciária CONTRPREV
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]",DCTFWEB,GuiaPagamento,synthetic
"155QN 1mposto 5obre 5erviços de Qua1quer Natureza
Código de barras 85640000001234567890123456789012345678901234
1dentificação do sujeito passivo [CNPJ]
Vencimento [DATE] va1or tota1 [MONEY]
Prefeitura de Porto A1egre
Guia de reco1himento municipa1
Autenticação bancária 00000.00000 11111.111111 22222.222222",ISSPoa,GuiaPagamento,synthetic
"Ministério da Fazenda Secretaria da Receita Federal do Brasil
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
DARF código da receita 2089
Documento de Arrecadação de Receitas Federais
Vencimento [DATE] valor total [MONEY]
Período de apuração [DATE] a [DATE]",DARF,GuiaPagamento,synthetic
"Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Programa Gerador do DAS
Autenticação bancária 00000.00000 11111.111111 22222.222222
Vencimento [DATE] valor total [MONEY]
Receita Federal do Brasil DAS
Documento de Arrecadação do Simples Nacional",SimplesNacional,GuiaPagamento,synthetic
"Competência da guia FGTS Digital
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Código de barras 85640000001234567890123456789012345678901234
Fundo de Garantia do Tempo de Serviço
GFD - Guia do FGTS Digital
Vencimento [DATE] valor total [MONEY]",FGTSDigital,GuiaPagamento,synthetic
"Contribuição previdenciária CONTRPREV
Autenticação bancária 00000.00000 11111.111111 22222.222222
Vencimento [DATE] valor total [MONEY]
IRRF - Rendimento do trabalho assalariado DCTFWeb
Identificação do sujeito passivo [CNPJ]
Documento de Arrecadação de Receitas Federais",DCTFWEB,GuiaPagamento,synthetic
"Declaro ter recebido a importância líquida
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Adiantamento
Código de barras 85640000001234567890123456789012345678901234
Adiantamento Salarial
Vencimento [DATE] valor total [MONEY]
Identificação do sujeito passivo [CNPJ]",Contracheque,Recibo,synthetic
"Vencimento [DATE] valor total [MONEY]
Identificação do sujeito passivo [CNPJ]
Documento de Arrecadação de Receitas Federais
Contribuição previdenciária CONTRPREV
IRRF - Rendimento do trabalho assalariado DCTFWeb
Período de apuração [DATE] a [DATE]",DCTFWEB,GuiaPagamento,synthetic
"Vencimento [DATE] valor total [MONEY]
INSS Guia da Previdência Social GPS
Autenticação bancária 00000.00000 11111.111111 22222.222222
Código de pagamento 2100
Ministério da Previdência Social
Identificação do sujeito passivo [CNPJ]",GuiaGPS,GuiaPagamento,synthetic
"Autenticação bancária 00000.00000 11111.111111 22222.222222
Documento de Arrecadação de Receitas Federais
IRRF - Rendimento do trabalho assalariado DCTFWeb
Vencimento [DATE] valor total [MONEY]
Código de barras 85640000001234567890123456789012345678901234
Período de apuração [DATE] a [DATE]
Contribuição previdenciária CONTRPREV",DCTFWEB,GuiaPagamento,synthetic
"Vencimento [DATE] valor total [MONEY]
GFD - Guia do FGTS Digital
Fundo de Garantia do Tempo de Serviço
Competência da guia FGTS Digital
Código de barras 85640000001234567890123456789012345678901234",FGTSDigital,GuiaPagamento,synthetic
"Vencimento [DATE] valor total [MONEY]
Demonstração de Resultado
Período de apuração [DATE] a [DATE]
Demonstrativo de Resultado",DREMensal,Relatorio,synthetic
"Autenticação bancária 00000.00000 11111.111111 22222.222222
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Sistema Público de Escrituração Digital SPED
Recibo de entrega de Escrituração Fiscal Digital
Vencimento [DATE] valor total [MONEY]
EFD ICMS IPI número do recibo",SPEDFiscal,Recibo,synthetic
"Guia de Arrecadação
Estado do Rio Grande Do Sul
Período de apuração [DATE] a [DATE]
Identificação do sujeito passivo [CNPJ]
Autenticação bancária 00000.00000 11111.111111 22222.222222
Guia de Arrecadação - GA
Vencimento [DATE] valor total [MONEY]",GARS,GuiaPagamento,synthetic
"Autenticação bancária 00000.00000 11111.111111 22222.222222
Programa Gerador do DA5
Período de apuração [DATE] a [DATE]
Documento de Arrecadação do 5imp1es Naciona1
Contribuinte: Empresa Exemp1o 104 LTDA CNPJ [CNPJ]
Receita Federa1 do Brasi1 DA5
Código de barras 85640000001234567890123456789012345678901234",SimplesNacional,GuiaPagamento,synthetic
"5indicato dos empregados contribuição confederativa
Contribuinte: Empresa Exemp1o 104 LTDA CNPJ [CNPJ]
Cedente sindicato código do beneficiário
1dentificação do sujeito passivo [CNPJ]
Vencimento [DATE] va1or tota1 [MONEY]
Bo1eto de contribuição assistencia1
Autenticação bancária 00000.00000 11111.111111 22222.222222",BoletoSindicato,GuiaPagamento,synthetic
"Código de barras 85640000001234567890123456789012345678901234
Demonstrativo de Resultado
Identificação do sujeito passivo [CNPJ]
Demonstração de Resultado",DREMensal,Relatorio,synthetic
"Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Autenticação bancária 00000.00000 11111.111111 22222.222222
Contribuição previdenciária CONTRPREV
IRRF - Rendimento do trabalho assalariado DCTFWeb
Documento de Arrecadação de Receitas Federais
Período de apuração [DATE] a [DATE]",DCTFWEB,GuiaPagamento,synthetic
"Código de barras 85640000001234567890123456789012345678901234
EFD ICMS IPI número do recibo
Sistema Público de Escrituração Digital SPED
Identificação do sujeito passivo [CNPJ]
Recibo de entrega de Escrituração Fiscal Digital",SPEDFiscal,Recibo,synthetic
"Autenticação bancária 00000.00000 11111.111111 22222.222222
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
INSS Guia da Previdência Social GPS
Ministério da Previdência Social
Código de pagamento 2100",GuiaGPS,GuiaPagamento,synthetic
"Código de pagamento 2100
Ministério da Previdência Social
Autenticação bancária 00000.00000 11111.111111 22222.222222
Período de apuração [DATE] a [DATE]
INSS Guia da Previdência Social GPS
Identificação do sujeito passivo [CNPJ]",GuiaGPS,GuiaPagamento,synthetic
"Identificação do sujeito passivo [CNPJ]
Documento de Arrecadação de Receitas Federais
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
DARF código da receita 2089
Ministério da Fazenda Secretaria da Receita Federal do Brasil",DARF,GuiaPagamento,synthetic
"Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Código de barras 85640000001234567890123456789012345678901234
GFD - Guia do FGTS Digital
Fundo de Garantia do Tempo de Serviço
Identificação do sujeito passivo [CNPJ]
Período de apuração [DATE] a [DATE]
Competência da guia FGTS Digital",FGTSDigital,GuiaPagamento,synthetic
"Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Declaro ter recebido a importância líquida
Adiantamento
Código de barras 85640000001234567890123456789012345678901234
Adiantamento Salarial
Autenticação bancária 00000.00000 11111.111111 22222.222222
Identificação do sujeito passivo [CNPJ]",Contracheque,Recibo,synthetic
"Cedente sindicato código do beneficiário
Autenticação bancária 00000.00000 11111.111111 22222.222222
Identificação do sujeito passivo [CNPJ]
Código de barras 85640000001234567890123456789012345678901234
Sindicato dos empregados contribuição confederativa
Boleto de contribuição assistencial",BoletoSindicato,GuiaPagamento,synthetic
"Período de apuração [DATE] a [DATE]
Código de barras 85640000001234567890123456789012345678901234
Vencimento [DATE] valor total [MONEY]
Boleto de contribuição assistencial
Sindicato dos empregados contribuição confederativa
Cedente sindicato código do beneficiário
Autenticação bancária 00000.00000 11111.111111 22222.222222",BoletoSindicato,GuiaPagamento,synthetic
"Vencimento [DATE] valor total [MONEY]
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Competência da guia FGTS Digital
Fundo de Garantia do Tempo de Serviço
Período de apuração [DATE] a [DATE]
GFD - Guia do FGTS Digital",FGTSDigital,GuiaPagamento,synthetic
"Identificação do sujeito passivo [CNPJ]
Quantidade 10 unidades descrição material de escritório
Vencimento [DATE] valor total [MONEY]
Pedido de compra ordem 4521",Desconhecido,Desconhecido,synthetic
"Código de barras 85640000001234567890123456789012345678901234
Ministério da Fazenda Secretaria da Receita Federal do Brasil
DARF código da receita 2089
Documento de Arrecadação de Receitas Federais
Vencimento [DATE] valor total [MONEY]
Autenticação bancária 00000.00000 11111.111111 22222.222222",DARF,GuiaPagamento,synthetic
"Contribuição previdenciária CONTRPREV
IRRF - Rendimento do trabalho assalariado DCTFWeb
Autenticação bancária 00000.00000 11111.111111 22222.222222
Documento de Arrecadação de Receitas Federais
Período de apuração [DATE] a [DATE]",DCTFWEB,GuiaPagamento,synthetic
"Identificação do sujeito passivo [CNPJ]
Cedente sindicato código do beneficiário
Sindicato dos empregados contribuição confederativa
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Período de apuração [DATE] a [DATE]
Boleto de contribuição assistencial
Vencimento [DATE] valor total [MONEY]",BoletoSindicato,GuiaPagamento,synthetic
"Documento de Arrecadação do Simples Nacional
Período de apuração [DATE] a [DATE]
Programa Gerador do DAS
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Código de barras 85640000001234567890123456789012345678901234
Autenticação bancária 00000.00000 11111.111111 22222.222222
Receita Federal do Brasil DAS",SimplesNacional,GuiaPagamento,synthetic
"Vencimento [DATE] valor total [MONEY]
Contribuição previdenciária CONTRPREV
Documento de Arrecadação de Receitas Federais
Identificação do sujeito passivo [CNPJ]
Autenticação bancária 00000.00000 11111.111111 22222.222222
IRRF - Rendimento do trabalho assalariado DCTFWeb
Período de apuração [DATE] a [DATE]",DCTFWEB,GuiaPagamento,synthetic
"Autenticação bancária 00000.00000 11111.111111 22222.222222
Vencimento [DATE] valor total [MONEY]
Competência da guia FGTS Digital
Período de apuração [DATE] a [DATE]
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
GFD - Guia do FGTS Digital
Fundo de Garantia do Tempo de Serviço",FGTSDigital,GuiaPagamento,synthetic
"Identificação do sujeito passivo [CNPJ]
IRRF - Rendimento do trabalho assalariado DCTFWeb
Vencimento [DATE] valor total [MONEY]
Período de apuração [DATE] a [DATE]
Documento de Arrecadação de Receitas Federais
Código de barras 85640000001234567890123456789012345678901234
Contribuição previdenciária CONTRPREV",DCTFWEB,GuiaPagamento,synthetic
"Estado do Rio Grande Do 5u1
Contribuinte: Empresa Exemp1o 104 LTDA CNPJ [CNPJ]
Guia de Arrecadação - GA
1dentificação do sujeito passivo [CNPJ]
Vencimento [DATE] va1or tota1 [MONEY]
Guia de Arrecadação",GARS,GuiaPagamento,synthetic
"Competência da guia FGTS Digital
Código de barras 85640000001234567890123456789012345678901234
Fundo de Garantia do Tempo de Serviço
Período de apuração [DATE] a [DATE]
GFD - Guia do FGTS Digital",FGTSDigital,GuiaPagamento,synthetic
"Declaro ter recebido a importância líquida
Adiantamento Salarial
Adiantamento
Autenticação bancária 00000.00000 11111.111111 22222.222222
Período de apuração [DATE] a [DATE]
Vencimento [DATE] valor total [MONEY]
Código de barras 85640000001234567890123456789012345678901234",Contracheque,Recibo,synthetic
"Fundo de Garantia do Tempo de Serviço
Código de barras 85640000001234567890123456789012345678901234
GFD - Guia do FGTS Digital
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Vencimento [DATE] valor total [MONEY]
Competência da guia FGTS Digital
Período de apuração [DATE] a [DATE]",FGTSDigital,GuiaPagamento,synthetic
"Identificação do sujeito passivo [CNPJ]
DARF código da receita 2089
Código de barras 85640000001234567890123456789012345678901234
Documento de Arrecadação de Receitas Federais
Vencimento [DATE] valor total [MONEY]
Ministério da Fazenda Secretaria da Receita Federal do Brasil",DARF,GuiaPagamento,synthetic
"Receita Federal do Brasil DAS
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Identificação do sujeito passivo [CNPJ]
Programa Gerador do DAS
Autenticação bancária 00000.00000 11111.111111 22222.222222
Vencimento [DATE] valor total [MONEY]
Documento de Arrecadação do Simples Nacional",SimplesNacional,GuiaPagamento,synthetic
"Ata de reunião pauta 1 aprovação das contas
Presentes os sócios na sede da sociedade
Vencimento [DATE] valor total [MONEY]
Período de apuração [DATE] a [DATE]",Desconhecido,Desconhecido,synthetic
"DARF código da receita 2089
1dentificação do sujeito passivo [CNPJ]
Autenticação bancária 00000.00000 11111.111111 22222.222222
Documento de Arrecadação de Receitas Federais
Ministério da Fazenda 5ecretaria da Receita Federa1 do Brasi1
Vencimento [DATE] va1or tota1 [MONEY]
Contribuinte: Empresa Exemp1o 104 LTDA CNPJ [CNPJ]",DARF,GuiaPagamento,synthetic
"Estado do Rio Grande Do Sul
Vencimento [DATE] valor total [MONEY]
Autenticação bancária 00000.00000 11111.111111 22222.222222
Guia de Arrecadação - GA
Guia de Arrecadação
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Identificação do sujeito passivo [CNPJ]",GARS,GuiaPagamento,synthetic
"Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Identificação do sujeito passivo [CNPJ]
Código de barras 85640000001234567890123456789012345678901234
ISSQN Imposto Sobre Serviços de Qualquer Natureza
Guia de recolhimento municipal
Prefeitura de Porto Alegre",ISSPoa,GuiaPagamento,synthetic
"DARF código da receita 2089
Documento de Arrecadação de Receitas Federais
Ministério da Fazenda Secretaria da Receita Federal do Brasil
Identificação do sujeito passivo [CNPJ]
Vencimento [DATE] valor total [MONEY]
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]",DARF,GuiaPagamento,synthetic
"Quantidade 10 unidades descrição material de escritório
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Pedido de compra ordem 4521
Identificação do sujeito passivo [CNPJ]
Autenticação bancária 00000.00000 11111.111111 22222.222222",Desconhecido,Desconhecido,synthetic
"GFD - Guia do FGTS Digital
Competência da guia FGTS Digital
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Fundo de Garantia do Tempo de Serviço
Código de barras 85640000001234567890123456789012345678901234
Período de apuração [DATE] a [DATE]",FGTSDigital,GuiaPagamento,synthetic
"Documento de Arrecadação de Receitas Federais
Autenticação bancária 00000.00000 11111.111111 22222.222222
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Código de barras 85640000001234567890123456789012345678901234
Ministério da Fazenda Secretaria da Receita Federal do Brasil
DARF código da receita 2089",DARF,GuiaPagamento,synthetic
"Documento de Arrecadação do Simples Nacional
Receita Federal do Brasil DAS
Período de apuração [DATE] a [DATE]
Programa Gerador do DAS
Código de barras 85640000001234567890123456789012345678901234
Vencimento [DATE] valor total [MONEY]",SimplesNacional,GuiaPagamento,synthetic
"As partes acima identificadas têm entre si justo e contratado
Período de apuração [DATE] a [DATE]
Contrato de prestação de serviços cláusula primeira
Autenticação bancária 00000.00000 11111.111111 22222.222222
Código de barras 85640000001234567890123456789012345678901234",Desconhecido,Desconhecido,synthetic
"Período de apuração [DATE] a [DATE]
Código de pagamento 2100
INSS Guia da Previdência Social GPS
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Ministério da Previdência Social
Código de barras 85640000001234567890123456789012345678901234",GuiaGPS,GuiaPagamento,synthetic
"Código de barras 85640000001234567890123456789012345678901234
Documento de Arrecadação do Simples Nacional
Identificação do sujeito passivo [CNPJ]
Período de apuração [DATE] a [DATE]
Programa Gerador do DAS
Receita Federal do Brasil DAS",SimplesNacional,GuiaPagamento,synthetic
"Guia de recolhimento municipal
Prefeitura de Porto Alegre
Código de barras 85640000001234567890123456789012345678901234
Vencimento [DATE] valor total [MONEY]
ISSQN Imposto Sobre Serviços de Qualquer Natureza",ISSPoa,GuiaPagamento,synthetic
"EFD ICMS IPI número do recibo
Código de barras 85640000001234567890123456789012345678901234
Período de apuração [DATE] a [DATE]
Recibo de entrega de Escrituração Fiscal Digital
Sistema Público de Escrituração Digital SPED",SPEDFiscal,Recibo,synthetic
"Documento de Arrecadação de Receitas Federais
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
DARF código da receita 2089
Ministério da Fazenda Secretaria da Receita Federal do Brasil
Autenticação bancária 00000.00000 11111.111111 22222.222222",DARF,GuiaPagamento,synthetic
"1dentificação do sujeito passivo [CNPJ]
Fundo de Garantia do Tempo de 5erviço
GFD - Guia do FGT5 Digita1
Vencimento [DATE] va1or tota1 [MONEY]
Competência da guia FGT5 Digita1",FGTSDigital,GuiaPagamento,synthetic
"Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Adiantamento
Adiantamento Salarial
Vencimento [DATE] valor total [MONEY]
Autenticação bancária 00000.00000 11111.111111 22222.222222
Declaro ter recebido a importância líquida",Contracheque,Recibo,synthetic
"Autenticação bancária 00000.00000 11111.111111 22222.222222
Ministério da Fazenda Secretaria da Receita Federal do Brasil
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Período de apuração [DATE] a [DATE]
Documento de Arrecadação de Receitas Federais
DARF código da receita 2089
Código de barras 85640000001234567890123456789012345678901234",DARF,GuiaPagamento,synthetic
"Documento de Arrecadação de Receitas Federais
Ministério da Fazenda Secretaria da Receita Federal do Brasil
Identificação do sujeito passivo [CNPJ]
DARF código da receita 2089
Código de barras 85640000001234567890123456789012345678901234
Período de apuração [DATE] a [DATE]",DARF,GuiaPagamento,synthetic
"Ministério da Previdência Social
Vencimento [DATE] valor total [MONEY]
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Código de pagamento 2100
INSS Guia da Previdência Social GPS",GuiaGPS,GuiaPagamento,synthetic
"Adiantamento Salarial
Declaro ter recebido a importância líquida
Autenticação bancária 00000.00000 11111.111111 22222.222222
Período de apuração [DATE] a [DATE]
Adiantamento",Contracheque,Recibo,synthetic
"Vencimento [DATE] valor total [MONEY]
Código de barras 85640000001234567890123456789012345678901234
Fundo de Garantia do Tempo de Serviço
Competência da guia FGTS Digital
GFD - Guia do FGTS Digital
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]",FGTSDigital,GuiaPagamento,synthetic
"Ata de reunião pauta 1 aprovação das contas
Presentes os sócios na sede da sociedade
Autenticação bancária 00000.00000 11111.111111 22222.222222
Código de barras 85640000001234567890123456789012345678901234",Desconhecido,Desconhecido,synthetic
"Guia de Arrecadação
Período de apuração [DATE] a [DATE]
Estado do Rio Grande Do Sul
Identificação do sujeito passivo [CNPJ]
Guia de Arrecadação - GA",GARS,GuiaPagamento,synthetic
"Identificação do sujeito passivo [CNPJ]
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Ministério da Fazenda Secretaria da Receita Federal do Brasil
Código de barras 85640000001234567890123456789012345678901234
Vencimento [DATE] valor total [MONEY]
Documento de Arrecadação de Receitas Federais
DARF código da receita 2089",DARF,GuiaPagamento,synthetic
"Programa Gerador do DAS
Identificação do sujeito passivo [CNPJ]
Documento de Arrecadação do Simples Nacional
Receita Federal do Brasil DAS
Período de apuração [DATE] a [DATE]
Código de barras 85640000001234567890123456789012345678901234",SimplesNacional,GuiaPagamento,synthetic
"Sistema Público de Escrituração Digital SPED
Período de apuração [DATE] a [DATE]
EFD ICMS IPI número do recibo
Autenticação bancária 00000.00000 11111.111111 22222.222222
Recibo de entrega de Escrituração Fiscal Digital",SPEDFiscal,Recibo,synthetic
